Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 1 || Cartesian vector: (10.2423, -50.378, -10.5723) || Spherical Vector: (52.4844, 1.77362, -1.37022) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-10.2423, 50.378, 10.5723) || Spherical Vector: (52.4844, 1.36797, 1.77137) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-27.0321, -19.5266, -40.5289) || Spherical Vector: (52.4844, 2.45311, -2.51602) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (27.0321, 19.5266, 40.5289) || Spherical Vector: (52.4844, 0.688488, 0.625568) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-5.96278, 16.75, 49.3812) || Spherical Vector: (52.4844, 0.3456, 1.91279) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (5.96278, -16.75, -49.3812) || Spherical Vector: (52.4844, 2.79599, -1.2288) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-22.9996, 7.25172, -46.6159) || Spherical Vector: (52.4844, 2.66418, 2.83616) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (22.9996, -7.25172, 46.6159) || Spherical Vector: (52.4844, 0.477414, -0.305431) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-49.415, -17.528, 2.35365) || Spherical Vector: (52.4844, 1.52594, -2.80073) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (49.415, 17.528, -2.35365) || Spherical Vector: (52.4844, 1.61566, 0.340865) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (15.799, -22.5146, 44.7001) || Spherical Vector: (52.4844, 0.551607, -0.958916) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-15.799, 22.5146, -44.7001) || Spherical Vector: (52.4844, 2.58999, 2.18268) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (41.8833, -1.74839, 31.5808) || Spherical Vector: (52.4844, 0.925147, -0.0417201) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-41.8833, 1.74839, -31.5808) || Spherical Vector: (52.4844, 2.21645, 3.09987) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (25.0676, 44.1378, -13.3448) || Spherical Vector: (52.4844, 1.82788, 1.05428) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-25.0676, -44.1378, 13.3448) || Spherical Vector: (52.4844, 1.31371, -2.08731) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (48.2162, -4.05898, 20.3307) || Spherical Vector: (52.4844, 1.17302, -0.0839849) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-48.2162, 4.05898, -20.3307) || Spherical Vector: (52.4844, 1.96857, 3.05761) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-1.38183, 42.4969, -30.7688) || Spherical Vector: (52.4844, 2.19721, 1.6033) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (1.38183, -42.4969, 30.7688) || Spherical Vector: (52.4844, 0.944378, -1.53829) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-28.4233, -43.4475, -7.68418) || Spherical Vector: (52.4844, 1.71773, -2.15012) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (28.4233, 43.4475, 7.68418) || Spherical Vector: (52.4844, 1.42386, 0.991476) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (38.4679, -31.7033, -16.4237) || Spherical Vector: (52.4844, 1.88907, -0.689295) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-38.4679, 31.7033, 16.4237) || Spherical Vector: (52.4844, 1.25252, 2.4523) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (33.4714, 33.5297, -22.5841) || Spherical Vector: (52.4844, 2.01562, 0.786268) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-33.4714, -33.5297, 22.5841) || Spherical Vector: (52.4844, 1.12597, -2.35532) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-4.39042, -49.8842, -15.7134) || Spherical Vector: (52.4844, 1.87485, -1.65858) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (4.39042, 49.8842, 15.7134) || Spherical Vector: (52.4844, 1.26674, 1.48301) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (5.22166, -52.0844, 3.81707) || Spherical Vector: (52.4844, 1.498, -1.47088) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-5.22166, 52.0844, -3.81707) || Spherical Vector: (52.4844, 1.64359, 1.67072) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
